area,year,pop_estimate
Colorado,1996,3919972
Connecticut,1996,3336685
Delaware,1996,740977
District of Columbia,1996,572377
Florida,1996,14853360
Georgia,1996,7501069
Hawaii,1996,1203755
Idaho,1996,1203083
Illinois,1996,12101997
Indiana,1996,5906013
Iowa,1996,2880000
Kansas,1996,2614554
Kentucky,1996,3919535
Louisiana,1996,4398877
Maine,1996,1249060
Maryland,1996,5111986
Massachusetts,1996,6179756
Michigan,1996,9758645
Minnesota,1996,4712827
Mississippi,1996,2748085
Missouri,1996,5431553
Montana,1996,886254
Nebraska,1996,1673740
Nevada,1996,1666320
New Hampshire,1996,1174719
New Jersey,1996,8149596
New Mexico,1996,1752326
New York,1996,18588460
North Carolina,1996,7500670
North Dakota,1996,650382
Ohio,1996,11242827
Oklahoma,1996,3340129
Oregon,1996,3247111
Pennsylvania,1996,12220464
Rhode Island,1996,1020893
South Carolina,1996,3796200
South Dakota,1996,742213
Tennessee,1996,5416643
Texas,1996,19340342
Utah,1996,2067976
Vermont,1996,593701
Virginia,1996,6750884
Washington,1996,5569753
West Virginia,1996,1822808
Wisconsin,1996,5229986
Wyoming,1996,488167
Alabama,1997,4367935
Alaska,1997,612968
Arizona,1997,4736990
Arkansas,1997,2601090
California,1997,32486010
Colorado,1997,4018293
Connecticut,1997,3349348
Delaware,1997,751487
District of Columbia,1997,567736
Florida,1997,15186304
Georgia,1997,7685099
Hawaii,1997,1211640
Idaho,1997,1228520
Illinois,1997,12185715
Indiana,1997,5955267
Iowa,1997,2891119
Kansas,1997,2635292
Kentucky,1997,3952747
Louisiana,1997,4421071
Maine,1997,1254774
Maryland,1997,5157328
Massachusetts,1997,6226058
Michigan,1997,9809051
Minnesota,1997,4763390
Mississippi,1997,2777004
Missouri,1997,5481193
Montana,1997,889865
Nebraska,1997,1686418
Nevada,1997,1764104
New Hampshire,1997,1189425
New Jersey,1997,8218808
New Mexico,1997,1774839
New York,1997,18656546
North Carolina,1997,7656825
North Dakota,1997,649716
Ohio,1997,11277357
Oklahoma,1997,3372917
Oregon,1997,3304310
Pennsylvania,1997,12227814
Rhode Island,1997,1025353
South Carolina,1997,3859696
South Dakota,1997,744223
Tennessee,1997,5499233
Texas,1997,19740317
Utah,1997,2119784
Vermont,1997,597239
Virginia,1997,6829183
Washington,1997,5674747
West Virginia,1997,1819113
Wisconsin,1997,5266213
Wyoming,1997,489451
Alabama,1998,4404701
Alaska,1998,619932
Arizona,1998,4883342
Arkansas,1998,2626289
California,1998,32987675
Colorado,1998,4116639
Connecticut,1998,3365352
Delaware,1998,763335
District of Columbia,1998,565230
Florida,1998,15486559
Georgia,1998,7863536
Hawaii,1998,1215233
Idaho,1998,1252330
Illinois,1998,12271847
Indiana,1998,5998880
Iowa,1998,2902872
Kansas,1998,2660598
Kentucky,1998,3985390
Louisiana,1998,4440344
Maine,1998,1259127
Maryland,1998,5204464
Massachusetts,1998,6271838
Michigan,1998,9847942
Minnesota,1998,4813412
Mississippi,1998,2804834
Missouri,1998,5521765
Montana,1998,892431
Nebraska,1998,1695816
Nevada,1998,1853191
New Hampshire,1998,1205940
New Jersey,1998,8287418
New Mexico,1998,1793484
New York,1998,18755906
North Carolina,1998,7809121
North Dakota,1998,647532
Ohio,1998,11311536
Oklahoma,1998,3405194
Oregon,1998,3352449
Pennsylvania,1998,12245672
Rhode Island,1998,1031155
South Carolina,1998,3919235
South Dakota,1998,746058
Tennessee,1998,5570045
Texas,1998,20157531
Utah,1998,2165960
Vermont,1998,600416
Virginia,1998,6900918
Washington,1998,5769562
West Virginia,1998,1815609
Wisconsin,1998,5297672
Wyoming,1998,490787
Alabama,1999,4430141
Alaska,1999,624779
Arizona,1999,5023823
Arkansas,1999,2651860
California,1999,33499204
Colorado,1999,4226018
Connecticut,1999,3386401
Delaware,1999,774990
District of Columbia,1999,570213
Florida,1999,15759421
Georgia,1999,8045965
Hawaii,1999,1210300
Idaho,1999,1275674
Illinois,1999,12359020
Indiana,1999,6044969
Iowa,1999,2917634
Kansas,1999,2678338
Kentucky,1999,4018053
Louisiana,1999,4460811
Maine,1999,1266808
Maryland,1999,5254509
Massachusetts,1999,6317345
Michigan,1999,9897116
Minnesota,1999,4873481
Mississippi,1999,2828408
Missouri,1999,5561948
Montana,1999,897507
Nebraska,1999,1704764
Nevada,1999,1934718
New Hampshire,1999,1222014
New Jersey,1999,8359592
New Mexico,1999,1808082
New York,1999,18882725
North Carolina,1999,7949361
North Dakota,1999,644259
Ohio,1999,11335454
Oklahoma,1999,3437147
Oregon,1999,3393941
Pennsylvania,1999,12263805
Rhode Island,1999,1040402
South Carolina,1999,3974682
South Dakota,1999,750412
Tennessee,1999,5638706
Texas,1999,20558220
Utah,1999,2203482
Vermont,1999,604683
Virginia,1999,7000174
Washington,1999,5842564
West Virginia,1999,1811799
Wisconsin,1999,5332666
Wyoming,1999,491780
Alabama,2000,4452173
Alaska,2000,627963
Arizona,2000,5160586
Arkansas,2000,2678588
California,2000,33987977
Colorado,2000,4326921
Connecticut,2000,3411777
Delaware,2000,786373
District of Columbia,2000,572046
Florida,2000,16047515
Georgia,2000,8227303
Hawaii,2000,1213519
Idaho,2000,1299430
Illinois,2000,12434161
Indiana,2000,6091866
Iowa,2000,2929067
Kansas,2000,2693681
Kentucky,2000,4049021
Louisiana,2000,4471885
Maine,2000,1277072
Maryland,2000,5311034
Massachusetts,2000,6361104
Michigan,2000,9952450
Minnesota,2000,4933692
Mississippi,2000,2848353
Missouri,2000,5607285
Montana,2000,903773
Nebraska,2000,1713820
Nevada,2000,2018741
New Hampshire,2000,1239882
New Jersey,2000,8430621
New Mexico,2000,1821204
New York,2000,19001780
North Carolina,2000,8081614
North Dakota,2000,642023
Ohio,2000,11363543
Oklahoma,2000,3454365
Oregon,2000,3429708
Pennsylvania,2000,12284173
Rhode Island,2000,1050268
South Carolina,2000,4024223
South Dakota,2000,755844
Tennessee,2000,5703719
Texas,2000,20944499
Utah,2000,2244502
Vermont,2000,609618
Virginia,2000,7105817
Washington,2000,5910512
West Virginia,2000,1807021
Wisconsin,2000,5373999
Wyoming,2000,494300
Alabama,2001,4467634
Alaska,2001,633714
Arizona,2001,5273477
Arkansas,2001,2691571
California,2001,34479458
Colorado,2001,4425687
Connecticut,2001,3432835
Delaware,2001,795699
District of Columbia,2001,574504
Florida,2001,16356966
Georgia,2001,8377038
Hawaii,2001,1225948
Idaho,2001,1319962
Illinois,2001,12488445
Indiana,2001,6127760
Iowa,2001,2931997
Kansas,2001,2702162
Kentucky,2001,4068132
Louisiana,2001,4477875
Maine,2001,1285692
Maryland,2001,5374691
Massachusetts,2001,6397634
Michigan,2001,9991120
Minnesota,2001,4982796
Mississippi,2001,2852994
Missouri,2001,5641142
Montana,2001,906961
Nebraska,2001,1719836
Nevada,2001,2098399
New Hampshire,2001,1255517
New Jersey,2001,8492671
New Mexico,2001,1831690
New York,2001,19082838
North Carolina,2001,8210122
North Dakota,2001,639062
Ohio,2001,11387404
Oklahoma,2001,3467100
Oregon,2001,3467937
Pennsylvania,2001,12298970
Rhode Island,2001,1057142
South Carolina,2001,4064995
South Dakota,2001,757972
Tennessee,2001,5750789
Texas,2001,21319622
Utah,2001,2283715
Vermont,2001,612223
Virginia,2001,7198362
Washington,2001,5985722
West Virginia,2001,1801481
Wisconsin,2001,5406835
Wyoming,2001,494657
Alabama,2002,4480089
Alaska,2002,642337
Arizona,2002,5396255
Arkansas,2002,2705927
California,2002,34871843
Colorado,2002,4490406
Connecticut,2002,3458749
Delaware,2002,806169
District of Columbia,2002,573158
Florida,2002,16689370
Georgia,2002,8508256
Hawaii,2002,1239613
Idaho,2002,1340372
Illinois,2002,12525556
Indiana,2002,6155967
Iowa,2002,2934234
Kansas,2002,2713535
Kentucky,2002,4089875
Louisiana,2002,4497267
Maine,2002,1295960
Maryland,2002,5440389
Massachusetts,2002,6417206
Michigan,2002,10015710
Minnesota,2002,5018935
Mississippi,2002,2858681
Missouri,2002,5674825
Montana,2002,911667
Nebraska,2002,1728292
Nevada,2002,2173791
New Hampshire,2002,1269089
New Jersey,2002,8552643
New Mexico,2002,1855309
New York,2002,19137800
North Carolina,2002,8326201
North Dakota,2002,638168
Ohio,2002,11407889
Oklahoma,2002,3489080
Oregon,2002,3513424
Pennsylvania,2002,12331031
Rhode Island,2002,1065995
South Carolina,2002,4107795
South Dakota,2002,760020
Tennessee,2002,5795918
Texas,2002,21690325
Utah,2002,2324815
Vermont,2002,615442
Virginia,2002,7286873
Washington,2002,6052349
West Virginia,2002,1805414
Wisconsin,2002,5445162
Wyoming,2002,500017
Alabama,2003,4503491
Alaska,2003,648414
Arizona,2003,5510364
Arkansas,2003,2724816
California,2003,35253159
Colorado,2003,4528732
Connecticut,2003,3484336
Delaware,2003,818003
District of Columbia,2003,568502
Florida,2003,17004085
Georgia,2003,8622793
Hawaii,2003,1251154
Idaho,2003,1363380
Illinois,2003,12556006
Indiana,2003,6196638
Iowa,2003,2941999
Kansas,2003,2723004
Kentucky,2003,4117170
Louisiana,2003,4521042
Maine,2003,1306513
Maryland,2003,5496269
Massachusetts,2003,6422565
Michigan,2003,10041152
Minnesota,2003,5053572
Mississippi,2003,2868312
Missouri,2003,5709403
Montana,2003,919630
Nebraska,2003,1738643
Nevada,2003,2248850
New Hampshire,2003,1279840
New Jersey,2003,8601402
New Mexico,2003,1877574
New York,2003,19175939
North Carolina,2003,8422501
North Dakota,2003,638817
Ohio,2003,11434788
Oklahoma,2003,3504892
Oregon,2003,3547376
Pennsylvania,2003,12374658
Rhode Island,2003,1071342
South Carolina,2003,4150297
South Dakota,2003,763729
Tennessee,2003,5847812
Texas,2003,22030931
Utah,2003,2360137
Vermont,2003,617858
Virginia,2003,7366977
Washington,2003,6104115
West Virginia,2003,1812295
Wisconsin,2003,5479203
Wyoming,2003,503453
Alabama,2004,4530729
Alaska,2004,659286
Arizona,2004,5652404
Arkansas,2004,2749686
California,2004,35574576
Colorado,2004,4575013
Connecticut,2004,3496094
Delaware,2004,830803
District of Columbia,2004,567754
Florida,2004,17415318
Georgia,2004,8769252
Hawaii,2004,1273569
Idaho,2004,1391802
Illinois,2004,12589773
Indiana,2004,6233007
Iowa,2004,2953635
Kansas,2004,2734373
Kentucky,2004,4146101
Louisiana,2004,4552238
Maine,2004,1313688
Maryland,2004,5546935
Massachusetts,2004,6412281
Michigan,2004,10055315
Minnesota,2004,5087713
Mississippi,2004,2889010
Missouri,2004,5747741
Montana,2004,930009
Nebraska,2004,1749370
Nevada,2004,2346222
New Hampshire,2004,1290121
New Jersey,2004,8634561
New Mexico,2004,1903808
New York,2004,19171567
North Carolina,2004,8553152
North Dakota,2004,644705
Ohio,2004,11452251
Oklahoma,2004,3525233
Oregon,2004,3569463
Pennsylvania,2004,12410722
Rhode Island,2004,1074579
South Carolina,2004,4210921
South Dakota,2004,770396
Tennessee,2004,5910809
Texas,2004,22394023
Utah,2004,2401580
Vermont,2004,619920
Virginia,2004,7475575
Washington,2004,6178645
West Virginia,2004,1816438
Wisconsin,2004,5514026
Wyoming,2004,509106
Alabama,2005,4569805
Alaska,2005,666946
Arizona,2005,5839077
Arkansas,2005,2781097
California,2005,35827943
Colorado,2005,4631888
Connecticut,2005,3506956
Delaware,2005,845150
District of Columbia,2005,567136
Florida,2005,17842038
Georgia,2005,8925922
Hawaii,2005,1292729
Idaho,2005,1428241
Illinois,2005,12609903
Indiana,2005,6278616
Iowa,2005,2964454
Kansas,2005,2745299
Kentucky,2005,4182742
Louisiana,2005,4576628
Maine,2005,1318787
Maryland,2005,5592379
Massachusetts,2005,6403290
Michigan,2005,10051137
Minnesota,2005,5119598
Mississippi,2005,2905943
Missouri,2005,5790300
Montana,2005,940102
Nebraska,2005,1761497
Nevada,2005,2432143
New Hampshire,2005,1298492
New Jersey,2005,8651974
New Mexico,2005,1932274
New York,2005,19132610
North Carolina,2005,8705407
North Dakota,2005,646089
Ohio,2005,11463320
Oklahoma,2005,3548597
Oregon,2005,3613202
Pennsylvania,2005,12449990
Rhode Island,2005,1067916
South Carolina,2005,4270150
South Dakota,2005,775493
Tennessee,2005,5991057
Texas,2005,22778123
Utah,2005,2457719
Vermont,2005,621215
Virginia,2005,7577105
Washington,2005,6257305
West Virginia,2005,1820492
Wisconsin,2005,5546166
Wyoming,2005,514157
Alabama,2006,4628981
Alaska,2006,675302
Arizona,2006,6029141
Arkansas,2006,2821761
California,2006,36021202
Colorado,2006,4720423
Connecticut,2006,3517460
Delaware,2006,859268
District of Columbia,2006,570681
Florida,2006,18166990
Georgia,2006,9155813
Hawaii,2006,1309731
Idaho,2006,1468669
Illinois,2006,12643955
Indiana,2006,6332669
Iowa,2006,2982644
Kansas,2006,2762931
Kentucky,2006,4219239
Louisiana,2006,4302665
Maine,2006,1323619
Maryland,2006,5627367
Massachusetts,2006,6410084
Michigan,2006,10036081
Minnesota,2006,5163555
Mississippi,2006,2904978
Missouri,2006,5842704
Montana,2006,952692
Nebraska,2006,1772693
Nevada,2006,2522658
New Hampshire,2006,1308389
New Jersey,2006,8661679
New Mexico,2006,1962137
New York,2006,19104631
North Carolina,2006,8917270
North Dakota,2006,649422
Ohio,2006,11481213
Oklahoma,2006,3594090
Oregon,2006,3670883
Pennsylvania,2006,12510809
Rhode Island,2006,1063096
South Carolina,2006,4357847
South Dakota,2006,783033
Tennessee,2006,6088766
Texas,2006,23359580
Utah,2006,2525507
Vermont,2006,622892
Virginia,2006,7673725
Washington,2006,6370753
West Virginia,2006,1827912
Wisconsin,2006,5577655
Wyoming,2006,522667
Alabama,2007,4672840
Alaska,2007,680300
Arizona,2007,6167681
Arkansas,2007,2848650
California,2007,36250311
Colorado,2007,4803868
Connecticut,2007,3527270
Delaware,2007,871749
District of Columbia,2007,574404
Florida,2007,18367842
Georgia,2007,9349988
Hawaii,2007,1315675
Idaho,2007,1505105
Illinois,2007,12695866
Indiana,2007,6379599
Iowa,2007,2999212
Kansas,2007,2783785
Kentucky,2007,4256672
Louisiana,2007,4375581
Maine,2007,1327040
Maryland,2007,5653408
Massachusetts,2007,6431559
Michigan,2007,10001284
Minnesota,2007,5207203
Mississippi,2007,2928350
Missouri,2007,5887612
Montana,2007,964706
Nebraska,2007,1783440
Nevada,2007,2601072
New Hampshire,2007,1312540
New Jersey,2007,8677885
New Mexico,2007,1990070
New York,2007,19132335
North Carolina,2007,9118037
North Dakota,2007,652822
Ohio,2007,11500468
Oklahoma,2007,3634349
Oregon,2007,3722417
Pennsylvania,2007,12563937
Rhode Island,2007,1057315
South Carolina,2007,4444110
South Dakota,2007,791623
Tennessee,2007,6175727
Texas,2007,23831983
Utah,2007,2597746
Vermont,2007,623481
Virginia,2007,7751000
Washington,2007,6461587
West Virginia,2007,1834052
Wisconsin,2007,5610775
Wyoming,2007,534876
Alabama,2008,4718206
Alaska,2008,687455
Arizona,2008,6280362
Arkansas,2008,2874554
California,2008,36604337
Colorado,2008,4889730
Connecticut,2008,3545579
Delaware,2008,883874
District of Columbia,2008,580236
Florida,2008,18527305
Georgia,2008,9504843
Hawaii,2008,1332213
Idaho,2008,1534320
Illinois,2008,12747038
Indiana,2008,6424806
Iowa,2008,3016734
Kansas,2008,2808076
Kentucky,2008,4289878
Louisiana,2008,4435586
Maine,2008,1330509
Maryland,2008,5684965
Massachusetts,2008,6468967
Michigan,2008,9946889
Minnesota,2008,5247018
Mississippi,2008,2947806
Missouri,2008,5923916
Montana,2008,976415
Nebraska,2008,1796378
Nevada,2008,2653630
New Hampshire,2008,1315906
New Jersey,2008,8711090
New Mexico,2008,2010662
New York,2008,19212436
North Carolina,2008,9309449
North Dakota,2008,657569
Ohio,2008,11515391
Oklahoma,2008,3668976
Oregon,2008,3768748
Pennsylvania,2008,12612285
Rhode Island,2008,1055003
South Carolina,2008,4528996
South Dakota,2008,799124
Tennessee,2008,6247411
Texas,2008,24309039
Utah,2008,2663029
Vermont,2008,624151
Virginia,2008,7833496
Washington,2008,6562231
West Virginia,2008,1840310
Wisconsin,2008,5640996
Wyoming,2008,546043
Alabama,2009,4757938
Alaska,2009,698895
Arizona,2009,6343154
Arkansas,2009,2896843
California,2009,36961229
Colorado,2009,4972195
Connecticut,2009,3561807
Delaware,2009,891730
District of Columbia,2009,592228
Florida,2009,18652644
Georgia,2009,9620846
Hawaii,2009,1346717
Idaho,2009,1554439
Illinois,2009,12796778
Indiana,2009,6459325
Iowa,2009,3032870
Kansas,2009,2832704
Kentucky,2009,4317074
Louisiana,2009,4491648
Maine,2009,1329590
Maryland,2009,5730388
Massachusetts,2009,6517613
Michigan,2009,9901591
Minnesota,2009,5281203
Mississippi,2009,2958774
Missouri,2009,5961088
Montana,2009,983982
Nebraska,2009,1812683
Nevada,2009,2684665
New Hampshire,2009,1316102
New Jersey,2009,8755602
New Mexico,2009,2036802
New York,2009,19307066
North Carolina,2009,9449566
North Dakota,2009,664968
Ohio,2009,11528896
Oklahoma,2009,3717572
Oregon,2009,3808600
Pennsylvania,2009,12666858
Rhode Island,2009,1053646
South Carolina,2009,4589872
South Dakota,2009,807067
Tennessee,2009,6306019
Texas,2009,24801761
Utah,2009,2723421
Vermont,2009,624817
Virginia,2009,7925937
Washington,2009,6667426
West Virginia,2009,1847775
Wisconsin,2009,5669264
Wyoming,2009,559851
Alabama,2010,4785514
Alaska,2010,713982
Arizona,2010,6407342
Arkansas,2010,2921998
California,2010,37319550
Colorado,2010,5047539
Connecticut,2010,3579173
Delaware,2010,899647
District of Columbia,2010,605282
Florida,2010,18846143
Georgia,2010,9712209
Hawaii,2010,1364004
Idaho,2010,1570819
Illinois,2010,12840545
Indiana,2010,6490555
Iowa,2010,3050819
Kansas,2010,2858266
Kentucky,2010,4348464
Louisiana,2010,4544635
Maine,2010,1327651
Maryland,2010,5788784
Massachusetts,2010,6566440
Michigan,2010,9877597
Minnesota,2010,5310934
Mississippi,2010,2970615
Missouri,2010,5996089
Montana,2010,990730
Nebraska,2010,1829591
Nevada,2010,2702483
New Hampshire,2010,1316807
New Jersey,2010,8799451
New Mexico,2010,2064614
New York,2010,19399956
North Carolina,2010,9574586
North Dakota,2010,674752
Ohio,2010,11539449
Oklahoma,2010,3760014
Oregon,2010,3837614
Pennsylvania,2010,12711406
Rhode Island,2010,1053994
South Carolina,2010,4635846
South Dakota,2010,816193
Tennessee,2010,6355518
Texas,2010,25241897
Utah,2010,2775413
Vermont,2010,625886
Virginia,2010,8024004
Washington,2010,6743009
West Virginia,2010,1854265
Wisconsin,2010,5690538
Wyoming,2010,564531
Alabama,2011,4799642
Alaska,2011,722349
Arizona,2011,6473416
Arkansas,2011,2941038
California,2011,37636311
Colorado,2011,5121900
Connecticut,2011,3588632
Delaware,2011,907590
District of Columbia,2011,620290
Florida,2011,19055607
Georgia,2011,9803630
Hawaii,2011,1379562
Idaho,2011,1584272
Illinois,2011,12867783
Indiana,2011,6517250
Iowa,2011,3066772
Kansas,2011,2869677
Kentucky,2011,4370817
Louisiana,2011,4576244
Maine,2011,1328473
Maryland,2011,5840241
Massachusetts,2011,6614218
Michigan,2011,9883053
Minnesota,2011,5346620
Mississippi,2011,2979147
Missouri,2011,6011182
Montana,2011,997518
Nebraska,2011,1840914
Nevada,2011,2713114
New Hampshire,2011,1320444
New Jersey,2011,8828552
New Mexico,2011,2080707
New York,2011,19499921
North Carolina,2011,9658913
North Dakota,2011,685526
Ohio,2011,11545735
Oklahoma,2011,3788824
Oregon,2011,3872672
Pennsylvania,2011,12747052
Rhode Island,2011,1053829
South Carolina,2011,4672655
South Dakota,2011,823740
Tennessee,2011,6400298
Texas,2011,25645504
Utah,2011,2814797
Vermont,2011,627197
Virginia,2011,8102437
Washington,2011,6827479
West Virginia,2011,1856606
Wisconsin,2011,5705840
Wyoming,2011,567491
Alabama,2012,4816632
Alaska,2012,730810
Arizona,2012,6556344
Arkansas,2012,2952876
California,2012,37944551
Colorado,2012,5193660
Connecticut,2012,3595211
Delaware,2012,915518
District of Columbia,2012,635737
Florida,2012,19302016
Georgia,2012,9903580
Hawaii,2012,1395199
Idaho,2012,1595910
Illinois,2012,12883029
Indiana,2012,6538989
Iowa,2012,3076844
Kansas,2012,2886024
Kentucky,2012,4387865
Louisiana,2012,4602067
Maine,2012,1328094
Maryland,2012,5888375
Massachusetts,2012,6664269
Michigan,2012,9898289
Minnesota,2012,5377500
Mississippi,2012,2984599
Missouri,2012,6026027
Montana,2012,1004168
Nebraska,2012,1853691
Nevada,2012,2744670
New Hampshire,2012,1324677
New Jersey,2012,8845671
New Mexico,2012,2087715
New York,2012,19574362
North Carolina,2012,9751810
North Dakota,2012,702227
Ohio,2012,11550971
Oklahoma,2012,3819320
Oregon,2012,3900102
Pennsylvania,2012,12769123
Rhode Island,2012,1054893
South Carolina,2012,4719027
South Dakota,2012,833859
Tennessee,2012,6455752
Texas,2012,26084120
Utah,2012,2854146
Vermont,2012,626361
Virginia,2012,8187456
Washington,2012,6898599
West Virginia,2012,1857446
Wisconsin,2012,5720825
Wyoming,2012,576656
Alabama,2013,4831586
Alaska,2013,737626
Arizona,2013,6634690
Arkansas,2013,2960459
California,2013,38253768
Colorado,2013,5270774
Connecticut,2013,3595792
Delaware,2013,924062
District of Columbia,2013,651559
Florida,2013,19551678
Georgia,2013,9975592
Hawaii,2013,1408822
Idaho,2013,1612053
Illinois,2013,12895778
Indiana,2013,6570575
Iowa,2013,3093935
Kansas,2013,2894306
Kentucky,2013,4406906
